# R packages
                 Version      Built  
askpass          "1.2.0"      "4.2.3"
assertthat       "0.2.1"      "4.2.3"
audio            "0.1-11"     "4.2.3"
backports        "1.4.1"      "4.2.3"
base             "4.2.3"      "4.2.3"
base64enc        "0.1-3"      "4.2.3"
bioacoustics     "0.2.8"      "4.2.3"
bit              "4.0.5"      "4.2.3"
bit64            "4.0.5"      "4.2.3"
bitops           "1.0-7"      "4.2.3"
blob             "1.2.4"      "4.2.3"
boot             "1.3-28.1"   "4.2.3"
brew             "1.0-8"      "4.2.3"
brio             "1.1.3"      "4.2.3"
broom            "1.0.5"      "4.2.3"
bslib            "0.5.1"      "4.2.3"
cachem           "1.0.8"      "4.2.3"
callr            "3.7.3"      "4.2.3"
caracas          "2.0.1"      "4.2.3"
cellranger       "1.1.0"      "4.2.3"
class            "7.3-22"     "4.2.3"
cli              "3.6.1"      "4.2.3"
clipr            "0.8.0"      "4.2.3"
cluster          "2.1.4"      "4.2.3"
codetools        "0.2-19"     "4.2.3"
colorspace       "2.1-0"      "4.2.3"
commonmark       "1.9.0"      "4.2.3"
compiler         "4.2.3"      "4.2.3"
conflicted       "1.2.0"      "4.2.3"
cpp11            "0.4.6"      "4.2.3"
crayon           "1.5.2"      "4.2.3"
credentials      "2.0.1"      "4.2.3"
curl             "5.0.2"      "4.2.3"
data.table       "1.14.8"     "4.2.3"
datasets         "4.2.3"      "4.2.3"
DBI              "1.1.3"      "4.2.3"
dbplyr           "2.3.3"      "4.2.3"
Deriv            "4.1.3"      "4.2.3"
desc             "1.4.2"      "4.2.3"
devtools         "2.4.5"      "4.2.3"
diffobj          "0.3.5"      "4.2.3"
digest           "0.6.33"     "4.2.3"
doBy             "4.6.18"     "4.2.3"
doParallel       "1.0.17"     "4.2.3"
downlit          "0.4.3"      "4.2.3"
dplyr            "1.1.3"      "4.2.3"
dtplyr           "1.3.1"      "4.2.3"
dtw              "1.23-1"     "4.2.3"
ellipsis         "0.3.2"      "4.2.3"
evaluate         "0.21"       "4.2.3"
fansi            "1.0.4"      "4.2.3"
farver           "2.1.1"      "4.2.3"
fastmap          "1.1.1"      "4.2.3"
fftw             "1.0-7"      "4.2.3"
fontawesome      "0.5.2"      "4.2.3"
forcats          "1.0.0"      "4.2.3"
foreach          "1.5.2"      "4.2.3"
foreign          "0.8-85"     "4.2.3"
fractional       "0.1.3"      "4.2.3"
fs               "1.6.3"      "4.2.3"
gargle           "1.5.2"      "4.2.3"
gbRd             "0.4-11"     "4.2.3"
generics         "0.1.3"      "4.2.3"
gert             "1.9.3"      "4.2.3"
ggplot2          "3.4.3"      "4.2.3"
gh               "1.4.0"      "4.2.3"
gitcreds         "0.1.2"      "4.2.3"
glue             "1.6.2"      "4.2.3"
gm               "1.0.2"      "4.2.3"
googledrive      "2.1.1"      "4.2.3"
googlesheets4    "1.1.1"      "4.2.3"
graphics         "4.2.3"      "4.2.3"
grDevices        "4.2.3"      "4.2.3"
grid             "4.2.3"      "4.2.3"
gsw              "1.1-1"      "4.2.3"
gtable           "0.3.4"      "4.2.3"
